FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\gasla\Documents\2CM4_DA2\assignment_2_heatflow.pde  19:55:20 2/8/24
Using 1 Thread(s)
 +00:00:01| Step 34 Time= 1.315457 Dt= 0.132441 Nodes=816 Cells=381 RMS ERR= 0.001524 MAX ERR= 0.001865 TIME ERR= 2.980e-4 MEM=1244
 +00:00:01| Step 35 Time= 1.464058 Dt= 0.148601 Nodes=812 Cells=379 RMS ERR= 0.005415 MAX ERR= 0.006647 TIME ERR= 2.868e-4 MEM=1244
 +00:00:01| Step 36 Time= 1.630791 Dt= 0.166733 Nodes=816 Cells=381 RMS ERR= 0.006576 MAX ERR= 0.009507 TIME ERR= 0.004916 MEM=1244
 +00:00:01| Step 37 Time= 1.754340 Dt= 0.123550 Nodes=816 Cells=381 RMS ERR= 0.005648 MAX ERR= 0.008103 TIME ERR= 0.002564 MEM=1244
 +00:00:01| Step 38 Time= 1.868074 Dt= 0.113734 Nodes=816 Cells=381 RMS ERR= 0.005004 MAX ERR= 0.007026 TIME ERR= 7.576e-4 MEM=1244
 +00:00:01| Step 39 Time= 1.995686 Dt= 0.127612 Nodes=816 Cells=381 RMS ERR= 0.004531 MAX ERR= 0.006058 TIME ERR= 1.300e-4 MEM=1244
 +00:00:01| Step 40 Time= 2.138870 Dt= 0.143183 Nodes=816 Cells=381 RMS ERR= 0.004214 MAX ERR= 0.005796 TIME ERR= 2.576e-4 MEM=1244
 +00:00:01| Step 41 Time= 2.299524 Dt= 0.160654 Nodes=816 Cells=381 RMS ERR= 0.003997 MAX ERR= 0.005645 TIME ERR= 3.977e-4 MEM=1244
 +00:00:01| Step 42 Time= 2.479780 Dt= 0.180257 Nodes=816 Cells=381 RMS ERR= 0.003846 MAX ERR= 0.005502 TIME ERR= 4.362e-4 MEM=1244
 +00:00:01| Step 43 Time= 2.682032 Dt= 0.202251 Nodes=816 Cells=381 RMS ERR= 0.003734 MAX ERR= 0.005368 TIME ERR= 4.224e-4 MEM=1244
 +00:00:01| Step 44 Time= 2.908961 Dt= 0.226930 Nodes=816 Cells=381 RMS ERR= 0.003642 MAX ERR= 0.005241 TIME ERR= 3.806e-4 MEM=1244
